instrument,year,beta_mkt,beta_smb,beta_hml,n_obs
BOKF.OQ,2017,0.020323024388807003,0.02005022265305725,-0.0046017848095225855,12
BOKF.OQ,2018,0.012986727512371943,0.010854610031386392,0.006996004285554924,12
BOKF.OQ,2019,0.011322751945815213,0.01577223004409539,0.00782120291444458,12
BOKF.OQ,2020,0.011057103143536352,0.010245006749340991,0.022954777989655645,12
BOKF.OQ,2021,0.010982558908511358,0.008917017712147373,0.008192817226314023,12
BOKF.OQ,2022,0.007498443540729605,0.035840254105087975,0.018503771203178386,12
BOKF.OQ,2023,0.0027279342445018905,0.020331532611259407,0.004967699893337504,12
BRKL.OQ,2016,0.007905088620735197,0.0012520299485308268,0.015010516796224768,12
BRKL.OQ,2017,0.019059660367221457,0.013780931645244292,-2.964640131513166e-06,12
BRKL.OQ,2018,0.008749569145002162,0.017482173499270812,0.007579374854501117,12
BRKL.OQ,2019,0.0032894447369348915,0.024133533911999457,0.004950147460054873,12
BRKL.OQ,2020,0.002870948563463013,0.015899052793399128,0.01495633480566206,12
BRKL.OQ,2021,0.011285466333958162,0.0027612408868855354,0.011827302284864664,12
BRKL.OQ,2022,0.004706944945077374,0.014491252718128927,0.014380983013479415,12
BRKL.OQ,2023,0.011534134564770373,0.009075984807852714,0.014601653582763306,12
