instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered
BRKL.OQ,2018-12-31,-0.253397594,-0.235297594,-0.213730725,21.58687943,21.98702088,63.09127249,33.61842045,22.15799615,21.25495609,39.93250972,24.91816172,33.61842045,24.91816172,7392.805,920.542,1.230666087,14.42,7.952405017,0.906428461,35.64958,3.248382174,8.417946455,91.58205355,8.908262509,0.124518637,0.091916987,0.855808285
BRKL.OQ,2019-12-31,0.00153853,0.02293853,0.021980433,20.28455285,18.54058521,51.99830203,27.91551899,21.58687943,21.98702088,63.09127249,33.61842045,27.91551899,33.61842045,7856.853,902.749,1.395575727,13.59,6.542271718,0.894410312,35.64958,2.091236783,10.10508525,89.89491475,8.969141424,0.114899566,0.112409976,0.834076324
BRKL.OQ,2020-12-31,-0.281679025,-0.277279025,-0.221035998,18.99807322,24.66951934,53.63132991,31.54336036,20.28455285,18.54058521,51.99830203,27.91551899,31.54336036,27.91551899,8942.424,820.247,1.00550525,13.51,4.800494377,0.749448704,35.49804,2.322614312,19.24415268,80.75584732,9.098561972,0.091725353,0.238300424,0.649599739
BRKL.OQ,2021-12-31,0.238366224,0.238766224,0.213396877,17.43215031,20.08984757,48.63220714,27.47215897,18.99807322,24.66951934,53.63132991,31.54336036,27.47215897,31.54336036,8602.622,357.321,1.271002201,14.3,1.587764213,0.736349943,24.36374,2.151095234,11.40215154,88.59784846,9.059822319,0.04153629,0.12869558,0.671031395
BRKL.OQ,2022-12-31,0.099982822,0.114182822,0.099577571,18.93489145,20.22532835,42.39385475,25.73146527,17.43215031,20.08984757,48.63220714,27.47215897,25.73146527,27.47215897,9185.836,1432.652,1.104555411,14.44,6.673486626,0.716997617,24.36374,4.492037481,18.20950746,81.79049254,9.125418011,0.155963159,0.222635992,0.61366106
FCF.N,2017-12-31,0.173346666,0.181346666,0.115183876,22.15799615,35.51659968,45.52619538,34.00566378,21.15270351,26.62346911,70.61717861,38.62742498,34.00566378,38.62742498,7308.539,795.384,1.571370722,12.34,5.132756609,0.960460813,28.45509,1.851298644,39.35881868,60.64118132,8.89679867,0.108829412,0.649044392,0.655891978
FCF.N,2018-12-31,-0.258642176,-0.240542176,-0.156022877,21.58687943,32.02476968,53.73639796,35.22938902,22.15799615,35.51659968,45.52619538,34.00566378,35.22938902,34.00566378,7828.255,906.879,1.220134233,14.65,7.587793347,1.132821001,28.26105,2.938106237,32.30615039,67.69384961,8.965494903,0.115846891,0.477239078,0.843898568
FCF.N,2019-12-31,0.050216618,0.071616618,0.062766167,20.28455285,29.1492057,50.204818,32.5317405,21.58687943,32.02476968,53.73639796,35.22938902,32.5317405,35.22938902,8308.773,436.035,1.351285492,14.26,7.516201107,1.15758278,20.99961,2.341923583,16.66270519,83.33729481,9.025067224,0.052478868,0.199942957,0.999677936
FCF.N,2020-12-31,-0.222498675,-0.218098675,-0.151658801,18.99807322,19.7469014,53.93738045,29.21192006,20.28455285,29.1492057,50.204818,32.5317405,29.21192006,32.5317405,9068.104,350.628,0.984141574,14.88,5.925119776,1.110520624,21.00652,1.8742574,28.5267102,71.4732898,9.11251848,0.038666076,0.399124068,0.844321318
FCF.N,2021-12-31,0.256483269,0.256883269,0.21187891,17.43215031,40.02488175,57.0468765,40.38921689,18.99807322,19.7469014,53.93738045,29.21192006,40.38921689,29.21192006,9545.093,320.584,1.366729479,14.64,1.55285363,1.089388474,20.93924,1.71846754,18.49770912,81.50229088,9.163782479,0.033586263,0.226959376,0.923652196
FCF.N,2022-12-31,0.050645046,0.064845046,0.059568387,15.8938172,50.50693108,52.93668529,44.12797987,17.43215031,40.02488175,57.0468765,40.38921689,44.12797987,40.38921689,9805.666,553.918,1.239900527,14.36,7.701736033,0.98505936,21.24215,4.635843545,18.62297367,81.37702633,9.190715661,0.056489585,0.228848049,0.834629282
FCF.N,2023-12-31,0.008604654,0.058104654,0.050758207,14.03688525,48.09790236,54.82636901,43.59405241,15.8938172,50.50693108,52.93668529,44.12797987,43.59405241,44.12797987,11459.488,784.592,1.199636006,13.93,6.208338975,0.908836401,19.50034,4.735283926,36.75837164,63.24162836,9.346573312,0.068466584,0.581236957,0.619143168
EGBN.OQ,2020-12-31,-0.154036626,-0.149636626,-0.108436309,46.62813102,40.704295,66.50760093,46.97077633,48.65853659,46.61548174,69.73681418,51.15737317,46.97077633,51.15737317,11117.802,594.803,1.057706941,17.04,6.305157666,1.140023313,37.75367,2.132456739,25.29017252,74.70982748,9.316302886,0.053500053,0.338511992,0.941614504
EGBN.OQ,2021-12-31,0.156349634,0.156749634,0.149370687,45.26791928,39.16809937,30.26181538,33.44110566,46.62813102,40.704295,66.50760093,46.97077633,33.44110566,46.97077633,11847.31,393.588,1.37992513,16.15,1.525834904,1.041609322,27.36304,1.721865334,5.11565271,94.88434729,9.379856117,0.033221719,0.053914611,1.002355155
EGBN.OQ,2022-12-31,-0.025284678,-0.011084678,-0.008476049,45.18963716,34.61718774,50.90968343,38.95073281,45.26791928,39.16809937,30.26181538,33.44110566,38.95073281,33.44110566,11150.854,1079.895,1.12467182,14.94,7.74342195,0.888705337,25.65825,4.390667955,5.965899027,94.03410097,9.319271366,0.096844152,0.063443995,0.84867716
EGBN.OQ,2023-12-31,-0.097897402,-0.048397402,-0.03775884,42.79851551,31.92670445,52.83629078,38.35979787,45.18963716,34.61718774,50.90968343,38.95073281,38.35979787,38.95073281,11664.538,1400.505,0.707816039,14.79,7.232350325,1.071108179,25.65825,4.525659061,12.96722379,87.03277621,9.364308578,0.120065192,0.148992418,0.964298981
CNOB.OQ,2017-12-31,0.25979842,0.26779842,0.251514253,22.15799615,23.08167358,58.36078701,32.45839342,21.15270351,22.45083404,60.81200228,33.0279345,32.45839342,33.0279345,5108.442,724.776,1.460552449,11.04,6.870865716,0.943976043,30.48364,2.426552661,6.489528219,93.51047178,8.538649744,0.141878091,0.069398946,0.900531159
CNOB.OQ,2018-12-31,-0.330519069,-0.312419069,-0.26435529,21.58687943,22.01597592,51.7377304,29.545507,22.15799615,23.08167358,58.36078701,32.45839342,29.545507,32.45839342,5462.092,728.557,0.972604513,13.15,7.284292271,0.845040526,28.71092,3.030886603,14.38923359,85.61076641,8.605587146,0.133384242,0.168077383,0.754621196
