Total valid regressions: 0
Total insufficient data: 1191
Insufficient data (instrument, year, n_obs):
('ORRF.OQ', 2022, 1)
('ORRF.OQ', 2023, 1)
('OSBC.OQ', 2017, 1)
('OSBC.OQ', 2018, 1)
('OSBC.OQ', 2019, 1)
('OSBC.OQ', 2020, 1)
('OSBC.OQ', 2021, 1)
('OSBC.OQ', 2022, 1)
('OSBC.OQ', 2023, 1)
('OVBC.OQ', 2018, 1)
('OVBC.OQ', 2019, 1)
('OVBC.OQ', 2020, 1)
('OVBC.OQ', 2021, 1)
('OVBC.OQ', 2022, 1)
('OVBC.OQ', 2023, 1)
('OVLY.OQ', 2018, 1)
('OVLY.OQ', 2019, 1)
('OVLY.OQ', 2020, 1)
('OVLY.OQ', 2021, 1)
('OVLY.OQ', 2022, 1)
('OZK.OQ', 2019, 1)
('OZK.OQ', 2020, 1)
('OZK.OQ', 2021, 1)
('OZK.OQ', 2022, 1)
('OZK.OQ', 2023, 1)
